Game ID,SteamDB score
556920,64.07%
556960,74.00%
556990,52.11%
557030,51.93%
557040,77.51%
556490,-1
556520,52.11%
556530,70.08%
556540,54.48%
556550,51.12%
556640,71.94%
556680,42.61%
556700,46.68%
556710,62.00%
556720,44.39%
556750,56.29%
556770,42.24%
556780,65.30%
556160,45.65%
556180,74.59%
556190,68.20%
556200,-1
556230,61.11%
556240,79.03%
556250,64.07%
556260,66.33%
556280,64.99%
556300,38.62%
556310,50.00%
556340,72.42%
555710,70.44%
555720,68.18%
555730,65.93%
555750,63.85%
555810,-1
555820,31.85%
555830,50.00%
555850,56.44%
555880,83.94%
555890,60.55%
555920,37.61%
555930,46.87%
555950,85.60%
555970,74.63%
556000,-1
556050,86.01%
556060,80.38%
556090,-1
556130,71.55%
556140,74.61%
555210,86.09%
555220,77.16%
555230,59.60%
555260,51.39%
555280,48.56%
555290,76.56%
555310,75.07%
555320,72.89%
555340,75.64%
555370,47.85%
555400,72.17%
555410,53.98%
555450,45.21%
555510,64.53%
555520,-1
555580,78.55%
555600,78.75%
555610,68.84%
555630,69.75%
555640,73.86%
555650,62.15%
555660,42.38%
555670,53.13%
554770,26.80%
554800,70.16%
554810,72.63%
554870,74.00%
554920,50.00%
554940,63.89%
554980,70.75%
555000,83.34%
555010,62.61%
555040,-1
555050,76.91%
555060,73.64%
555080,47.22%
555090,-1
555130,58.97%
555150,74.64%
555170,61.97%
555180,52.98%
554280,72.01%
554290,84.19%
554310,74.11%
554330,78.12%
554470,76.62%
554530,58.90%
554550,45.52%
554560,-1
554570,53.86%
554590,55.69%
554600,85.66%
554610,-1
554620,91.61%
554640,70.80%
554660,64.76%
554680,60.54%
554690,-1
554700,60.28%
554710,-1
554720,-1
554750,60.71%
554140,59.52%
554150,76.40%
554180,72.79%
554220,74.62%
553760,84.06%
553780,68.00%
553790,80.89%
553800,56.45%
553820,63.46%
553830,75.86%
553880,56.69%
553910,-1
553940,-1
553950,81.78%
553960,44.02%
553290,47.08%
553320,53.52%
553330,-1
553340,77.36%
553350,54.17%
553410,50.00%
553420,-1
553430,54.17%
553440,64.76%
553450,55.77%
553470,52.78%
553480,81.51%
553490,44.31%
553530,50.00%
553540,-1
553570,38.89%
553590,82.25%
553610,62.05%
553630,44.31%
553640,88.98%
553660,67.97%
553680,-1
553690,59.00%
553050,59.43%
553100,38.89%
553110,52.42%
553140,-1
553150,47.61%
553210,64.96%
553260,61.38%
552590,89.45%
552600,75.44%
552610,70.33%
552620,86.33%
552630,61.97%
552670,45.83%
552690,-1
552700,78.98%
552720,61.97%
552770,70.33%
552780,70.40%
552800,53.32%
552870,42.82%
552880,83.29%
552900,69.80%
552910,48.16%
552920,65.20%
552940,50.00%
552960,52.37%
552970,76.65%
553000,39.66%
553020,-1
553040,71.55%
552110,70.62%
552120,61.97%
552130,45.36%
552140,77.55%
552150,-1
552200,80.92%
552210,-1
552220,-1
552230,57.96%
552240,61.97%
552270,50.00%
552280,91.60%
552300,53.98%
552310,46.68%
552330,59.60%
552340,44.31%
552350,57.26%
552370,72.86%
552380,63.89%
552390,68.06%
552400,78.44%
552410,55.75%
552440,80.04%
552450,80.72%
552460,78.98%
552480,-1
552500,79.34%
552520,76.21%
552540,52.39%
552550,-1
552570,52.78%
552580,54.07%
551930,52.44%
551960,71.55%
552000,-1
552030,70.72%
552060,76.00%
552080,90.44%
551440,68.51%
551450,81.72%
551500,52.39%
551520,69.12%
551550,36.65%
551570,78.11%
551610,48.83%
551630,48.07%
551650,56.53%
551680,46.87%
551690,75.32%
551700,74.60%
551710,-1
551720,64.87%
551730,76.17%
551750,66.98%
551770,77.12%
551780,44.86%
551840,65.42%
551860,72.67%
551050,58.33%
551060,67.93%
551080,62.14%
551100,59.97%
551110,84.17%
551130,-1
551150,-1
551160,-1
551170,76.47%
551190,74.06%
551320,61.95%
551330,-1
551360,-1
551380,-1
550840,74.38%
550870,55.69%
550930,61.97%
550990,82.19%
550560,-1
550580,72.93%
550590,84.61%
550600,-1
550670,42.49%
550740,46.48%
550810,79.35%
550820,68.83%
550830,-1
550170,-1
550180,62.93%
550200,-1
550220,62.05%
550240,58.14%
550310,79.27%
550340,81.63%
550360,60.44%
550390,67.97%
550400,80.19%
550420,71.25%
550440,52.59%
550450,68.04%
550520,64.35%
549660,-1
